FID,CSA2010,farms10,farms11,farms12,farms13,SHAPE_Length,SHAPE_Area
25,Hamilton,74.0182894029048,73.19,67.04,73.3100233100233,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,91.377245508982,92.37,86.1,94.7603121516165,18552.4075815481,10215859.0840198
27,Harford/Echodale,72.1212121212121,71.17,68.02,77.3294908741595,40019.1854001864,65360039.1701278
28,Highlandtown,83.2369942196532,83.99,78.21,84.407796101949,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,77.0965468639887,78.48,70,81.1070110701107,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,69.3711967545639,70.25,58.32,60.9756097560976,43415.0595477941,24995836.2620936
31,Lauraville,72.1360381861575,70.48,65.73,74.7406955460647,34419.6765281197,49665744.2382935
32,Loch Raven,75.2982766239505,73.65,68.82,76.5168048886949,29314.3346718106,44147812.3259686
33,Madison/East End,92.7459016393443,92.47,84.69,93.8743455497382,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,66.2207357859532,69.25,62.41,67.7394636015326,43152.6256992199,62441489.2397897
35,Midtown,75.7469244288225,73.5,65.49,69.7029702970297,25020.0969697781,23823949.929494
36,Midway/Coldstream,88.6899151743638,90.33,81.87,92.3229321446261,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,71.8974358974359,76.71,69.6,80.4651162790698,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,30.0653594771242,34.95,27.89,28.5714285714286,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,35.0597609561753,29.37,24.81,28.1758957654723,42904.2221443837,74923987.6939622
40,Northwood,76.6317887394121,74.62,71.02,78.6026200873362,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,92.0358945597308,92.4,85.6,93.0334613274822,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,81.1423390752493,85.21,79.39,88.0776959142666,47825.8629265765,89894372.2114828
43,Patterson Park North & East,88.172521120498,89.88,81.56,89.7356828193833,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,89.8092967818832,89.68,82.31,90.6163242642976,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,87.7798507462687,85.84,79.46,89.2323030907278,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,91.1623439000961,88.71,84.14,93.3333333333333,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,89.4224733207784,89.38,82.2,93.3403068340307,20987.1433066415,23672092.8680536
48,South Baltimore,59.4155844155844,63.72,55.24,57.5757575757576,68440.0258267645,46353935.42529
49,Southeastern,82.5265643447462,88.58,81.6,88.2219705549264,102291.480547452,111251478.472831
50,Southern Park Heights,87.515923566879,88.64,80.73,89.3036912751678,24052.2213722085,27876227.5906738
51,Southwest Baltimore,90.9344845099035,90.75,83.29,93.4360730593607,28355.5635813649,37766068.8367913
52,The Waverlies,83.4355828220859,83.32,75.15,84.9606299212599,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,92.6556420233463,93.75,86.41,94.7693770803614,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,87.4055415617129,87.77,81.07,89.7590361445783,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,88.0180859080633,87.04,82.2,91.1671924290221,42573.1244161893,45494092.9497963
