OBJECTID,CSA2010,mort64_11,mort64_12,mort64_13,mort64_14,mort64_15,mort64_16,mort64_17,mort64_18,SHAPE_Length,SHAPE_Area
30,Inner Harbor/Federal Hill,83.63490149,86.85162847,71.57217531,82.026538,75.59308404,64.33453961,54.68435867,60.31363088,43415.0595477941,24995836.2620936
31,Lauraville,83.5117773,78.69379015,60.49250535,77.08779443,77.08779443,77.62312634,74.4111349,80.29978587,34419.6765281197,49665744.2382935
32,Loch Raven,86.85608686,84.08408408,67.91406791,81.31208131,86.39408639,89.62808963,89.62808963,93.78609379,29314.3346718106,44147812.3259686
33,Madison/East End,166.003411,176.236498,142.1262081,173.9624787,172.825469,183.058556,176.236498,172.825469,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,98.69598568,97.16185119,76.19534646,95.11633853,97.16185119,103.2983892,101.2528765,99.20736385,43152.6256992199,62441489.2397897
35,Midtown,113.1687243,109.739369,87.10562414,109.0534979,106.9958848,109.0534979,106.3100137,106.9958848,25020.0969697781,23823949.929494
36,Midway/Coldstream,155.0509005,145.6538763,115.8966327,142.5215348,145.6538763,146.4369616,146.4369616,140.1722788,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,135.7813834,130.6575576,106.7463706,142.6131512,134.9274125,144.3210931,151.1528608,146.883006,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,52.76705277,46.33204633,29.6010296,43.75804376,43.75804376,39.8970399,48.90604891,42.47104247,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,54.70675209,53.22819123,39.4282898,51.25677674,48.79250862,50.76392311,49.28536225,46.82109414,42904.2221443837,74923987.6939622
40,Northwood,90.88613986,89.87629387,72.20398889,90.38121686,96.94521585,96.94521585,91.89598586,92.90583186,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,107.0681723,121.2881639,105.3952321,151.4010874,167.2940192,176.4951903,172.3128398,184.8598913,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,145.8541459,150.8491508,121.8781219,146.8531469,137.8621379,126.8731269,122.8771229,118.8811189,47825.8629265765,89894372.2114828
43,Patterson Park North & East,126.5171019,137.5505701,119.1614564,134.6083119,133.8727473,128.7237955,125.7815373,130.1949246,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,137.737175,130.7097681,103.3028812,126.493324,123.6823612,134.2234715,144.0618412,153.9002108,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,155.3223388,157.7211394,128.9355322,166.1169415,157.1214393,163.1184408,157.1214393,172.113943,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,217.1602126,197.4183751,151.8602885,198.936978,198.936978,195.8997722,215.6416097,215.6416097,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,158.484924,165.4622477,126.0902068,160.9768253,166.9573885,171.9411911,171.4428109,174.4330924,20987.1433066415,23672092.8680536
48,South Baltimore,95.6937799,86.12440191,78.14992026,76.55502392,79.74481659,79.74481659,74.96012759,68.58054226,68440.0258267645,46353935.42529
49,Southeastern,122.1374046,122.1374046,101.7811705,128.4987277,146.3104326,151.3994911,160.3053435,157.7608142,102291.480547452,111251478.472831
50,Southern Park Heights,145.8100559,144.1340782,116.2011173,158.6592179,152.5139665,155.3072626,155.3072626,148.603352,24052.2213722085,27876227.5906738
51,Southwest Baltimore,177.581864,169.6053736,131.8219983,160.7892527,160.7892527,178.4214945,181.7800168,196.4735516,28355.5635813649,37766068.8367913
52,The Waverlies,114.1226819,121.7308607,95.1022349,116.9757489,122.681883,120.7798383,118.8777936,119.828816,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,184.4930417,172.5646123,139.9602386,170.9741551,177.3359841,184.4930417,200.3976143,193.2405567,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,122.4152192,124.0694789,102.5641026,133.9950372,155.5004136,165.4259719,167.0802316,162.1174524,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,88.0733945,96.63608563,91.74311927,101.529052,112.5382263,117.4311927,121.1009174,129.6636086,42573.1244161893,45494092.9497963
